resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
626,2025,8,ocon,haas,8,7,7,6.00,77,Lapped,+1:06.029,1:15.157,14,
627,2025,8,lawson,rb,9,8,8,4.00,77,Lapped,+1:06.746,1:15.321,17,
628,2025,8,albon,williams,10,9,9,2.00,76,Lapped,+11.869,1:14.597,9,
629,2025,8,sainz,williams,11,10,10,1.00,76,Lapped,+15.232,1:13.988,5,
630,2025,8,russell,mercedes,14,11,11,0.00,76,Lapped,+33.844,1:13.405,2,
631,2025,8,bearman,haas,20,12,12,0.00,76,Lapped,+54.693,1:14.855,10,
632,2025,8,colapinto,alpine,18,13,13,0.00,76,Lapped,+57.114,1:15.298,16,
633,2025,8,bortoleto,sauber,16,14,14,0.00,76,Lapped,+1:08.424,1:14.884,12,
634,2025,8,stroll,aston_martin,19,15,15,0.00,76,Lapped,+1:10.395,1:14.877,11,
635,2025,8,hulkenberg,sauber,13,16,16,0.00,76,Lapped,+1:11.544,1:15.223,15,
636,2025,8,tsunoda,red_bull,12,17,17,0.00,76,Lapped,+1:11.849,1:14.913,13,
637,2025,8,antonelli,mercedes,15,18,18,0.00,75,Lapped,+8.409,1:13.518,3,
638,2025,8,alonso,aston_martin,6,19,R,0.00,36,Retired,,1:15.593,18,
639,2025,8,gasly,alpine,17,20,R,0.00,7,Retired,,1:18.054,20,
640,2025,9,piastri,mclaren,1,1,1,25.00,66,Finished,1:32:57.375,1:15.743,1,
641,2025,9,norris,mclaren,2,2,2,18.00,66,Finished,+2.471,1:16.187,2,
642,2025,9,leclerc,ferrari,7,3,3,15.00,66,Finished,+10.455,1:17.259,5,
643,2025,9,russell,mercedes,4,4,4,12.00,66,Finished,+11.359,1:17.244,4,
644,2025,9,hulkenberg,sauber,15,5,5,10.00,66,Finished,+13.648,1:17.575,6,
645,2025,9,hamilton,ferrari,5,6,6,8.00,66,Finished,+15.508,1:17.706,7,
646,2025,9,hadjar,rb,9,7,7,6.00,66,Finished,+16.022,1:17.770,8,
647,2025,9,gasly,alpine,8,8,8,4.00,66,Finished,+17.882,1:17.896,9,
648,2025,9,alonso,aston_martin,10,9,9,2.00,66,Finished,+21.564,1:18.128,11,
649,2025,9,max_verstappen,red_bull,3,10,10,1.00,66,Finished,+21.826,1:17.019,3,
650,2025,9,lawson,rb,13,11,11,0.00,66,Finished,+25.532,1:19.424,18,
651,2025,9,bortoleto,sauber,12,12,12,0.00,66,Finished,+25.996,1:18.297,13,
652,2025,9,tsunoda,red_bull,19,13,13,0.00,66,Finished,+28.822,1:17.998,10,
653,2025,9,sainz,williams,17,14,14,0.00,66,Finished,+29.309,1:19.317,17,
654,2025,9,colapinto,alpine,18,15,15,0.00,66,Finished,+31.381,1:18.353,14,
655,2025,9,ocon,haas,16,16,16,0.00,66,Finished,+32.197,1:18.624,15,
656,2025,9,bearman,haas,14,17,17,0.00,66,Finished,+37.065,1:18.907,16,
657,2025,9,antonelli,mercedes,6,18,R,0.00,53,Retired,,1:18.255,12,
658,2025,9,albon,williams,11,19,R,0.00,27,Retired,,1:20.508,19,
659,2025,10,russell,mercedes,1,1,1,25.00,70,Finished,1:31:52.688,1:14.119,1,
660,2025,10,max_verstappen,red_bull,2,2,2,18.00,70,Finished,+0.228,1:14.287,5,
661,2025,10,antonelli,mercedes,4,3,3,15.00,70,Finished,+1.014,1:14.455,7,
662,2025,10,piastri,mclaren,3,4,4,12.00,70,Finished,+2.109,1:14.255,3,
663,2025,10,leclerc,ferrari,8,5,5,10.00,70,Finished,+3.442,1:14.261,4,
664,2025,10,hamilton,ferrari,5,6,6,8.00,70,Finished,+10.713,1:14.805,9,
665,2025,10,alonso,aston_martin,6,7,7,6.00,70,Finished,+10.972,1:15.024,12,
666,2025,10,hulkenberg,sauber,11,8,8,4.00,70,Finished,+15.364,1:15.372,14,
667,2025,10,ocon,haas,14,9,9,2.00,69,Lapped,+1.473,1:14.593,8,
668,2025,10,sainz,williams,16,10,10,1.00,69,Lapped,+1.886,1:14.389,6,
669,2025,10,bearman,haas,13,11,11,0.00,69,Lapped,+3.717,1:15.397,15,
670,2025,10,tsunoda,red_bull,18,12,12,0.00,69,Lapped,+5.456,1:15.358,13,
671,2025,10,colapinto,alpine,10,13,13,0.00,69,Lapped,+7.018,1:16.076,17,
672,2025,10,bortoleto,sauber,15,14,14,0.00,69,Lapped,+7.879,1:15.414,16,
673,2025,10,gasly,alpine,20,15,15,0.00,69,Lapped,+7.950,1:14.993,11,
674,2025,10,hadjar,rb,12,16,16,0.00,69,Lapped,+8.737,1:16.292,19,
675,2025,10,stroll,aston_martin,17,17,17,0.00,69,Lapped,+9.063,1:14.902,10,
676,2025,10,norris,mclaren,7,18,18,0.00,66,Retired,,1:14.229,2,
677,2025,10,lawson,rb,19,19,R,0.00,53,Retired,,1:16.320,20,
678,2025,10,albon,williams,9,20,R,0.00,46,Retired,,1:16.197,18,
679,2025,11,norris,mclaren,1,1,1,25.00,70,Finished,1:23:47.693,1:08.272,2,
680,2025,11,piastri,mclaren,3,2,2,18.00,70,Finished,+2.695,1:07.924,1,
681,2025,11,leclerc,ferrari,2,3,3,15.00,70,Finished,+19.820,1:08.765,4,
682,2025,11,hamilton,ferrari,4,4,4,12.00,70,Finished,+29.020,1:08.628,3,
683,2025,11,russell,mercedes,5,5,5,10.00,70,Finished,+1:02.396,1:09.372,7,
684,2025,11,lawson,rb,6,6,6,8.00,70,Finished,+1:07.754,1:09.977,14,
685,2025,11,alonso,aston_martin,11,7,7,6.00,69,Lapped,+1.437,1:09.935,12,
686,2025,11,bortoleto,sauber,8,8,8,4.00,69,Lapped,+1.952,1:09.247,6,
687,2025,11,hulkenberg,sauber,20,9,9,2.00,69,Lapped,+7.720,1:09.459,8,
688,2025,11,ocon,haas,17,10,10,1.00,69,Lapped,+9.986,1:09.550,9,
689,2025,11,bearman,haas,15,11,11,0.00,69,Lapped,+24.854,1:09.960,13,
690,2025,11,hadjar,rb,13,12,12,0.00,69,Lapped,+27.957,1:10.204,16,
691,2025,11,gasly,alpine,10,13,13,0.00,69,Lapped,+33.055,1:10.151,15,
